"","date","real","model"
"135",1960-05-14,1710,1209.56536163808
"136",1960-05-15,1960,1317.98742551437
"137",1960-05-16,2220,1493.70985657848
"138",1960-05-17,2660,1731.03774535083
"139",1960-05-18,2770,1934.74874480638
"140",1960-05-19,2820,2129.13166550619
"141",1960-05-20,2830,2313.61533190693
"142",1960-05-21,2790,2278.76990932121
"143",1960-05-22,2780,2249.56277987848
"144",1960-05-23,2580,2500.23096162417
"145",1960-05-24,3120,2509.56779740739
"146",1960-05-25,3240,2524.98300745798
"147",1960-05-26,2770,2458.97604033312
"148",1960-05-27,2790,2362.82160900643
"149",1960-05-28,2650,2290.54110938587
"150",1960-05-29,2500,2131.58455654833
"151",1960-05-30,2240,1922.65147415443
"152",1960-05-31,2080,1731.99754019464
"153",1960-06-01,2020,1618.10842248111
"154",1960-06-02,1980,1625.9410816851
"155",1960-06-03,2080,1669.1238120979
"156",1960-06-04,2160,1642.69406275473
"157",1960-06-05,2030,1721.54138102176
"158",1960-06-06,2170,1804.95538612826
"159",1960-06-07,2130,1768.49781497519
"160",1960-06-08,2100,1720.40211349098
"161",1960-06-09,2130,1736.65231370098
"162",1960-06-10,2300,1874.90484190658
"163",1960-06-11,2550,2107.66653287474
"164",1960-06-12,2780,2184.52842781996
"165",1960-06-13,2760,2225.16008709097
"166",1960-06-14,2460,2200.07125291568
"167",1960-06-15,2400,2104.0433962873
"168",1960-06-16,2460,2075.92600788415
"169",1960-06-17,2590,2112.61258427439
"170",1960-06-18,2460,2044.10946068055
"171",1960-06-19,2230,1865.66299747594
"172",1960-06-20,2030,1706.66787464454
"173",1960-06-21,2030,1569.94331120945
"174",1960-06-22,2190,1502.85872266671
"175",1960-06-23,2210,1476.42784473578
"176",1960-06-24,2060,1411.7638689946
"177",1960-06-25,1930,1320.69116253783
"178",1960-06-26,1890,1248.91538530351
"179",1960-06-27,1860,1249.91297813667
"180",1960-06-28,2000,1560.81700722293
"181",1960-06-29,2540,2011.21896097278
"182",1960-06-30,2710,2421.29947274418
"183",1960-07-01,3010,2700.22318336914
"184",1960-07-02,2740,2626.75218729505
"185",1960-07-03,2420,2370.66923828596
"186",1960-07-04,2120,2066.11918143736
"187",1960-07-05,1900,1803.98900064931
"188",1960-07-06,1740,1616.88773006907
"189",1960-07-07,1700,1531.57672824347
"190",1960-07-08,1660,1507.58662720655
"191",1960-07-09,1790,1508.09057414248
"192",1960-07-10,1890,1545.26838688413
"193",1960-07-11,2120,1616.48895978833
"194",1960-07-12,2020,1706.3968411481
"195",1960-07-13,1950,1881.31330771477
"196",1960-07-14,2620,2092.23632015833
"197",1960-07-15,2720,2239.92237901643
"198",1960-07-16,2360,2145.24139644948
"199",1960-07-17,2360,2133.02532829609
