#      date    value 
cdo(1) remapnn: Nearest neighbor weights from lonlat (166x66) to lonlat (1x1) grid, with source mask (6265)
 2018-01-01 2319.99798339347 
 2018-01-02 2342.43684283503 
 2018-01-03 2298.09574024598 
 2018-01-04 2265.76540696127 
 2018-01-05 2222.1345670425 
 2018-01-06 2190.72856214856 
 2018-01-07 2250.14352576385 
 2018-01-08 2347.85658841024 
 2018-01-09 2488.57537305627 
 2018-01-10 2792.93706273548 
 2018-01-11 3317.11627996272 
 2018-01-12 3910.13745439893 
 2018-01-13 4375.65907417139 
 2018-01-14 4500.14510230887 
 2018-01-15 4310.3957448451 
 2018-01-16 4016.76235598703 
 2018-01-17 3723.67511213384 
 2018-01-18 3420.62831031409 
 2018-01-19 3116.04002595138 
 2018-01-20 2819.93170559982 
 2018-01-21 2585.82409895057 
 2018-01-22 2441.90892426458 
 2018-01-23 2442.52719648558 
 2018-01-24 2629.99674903352 
 2018-01-25 2910.10433014771 
 2018-01-26 3163.15913040604 
 2018-01-27 3303.00285231501 
 2018-01-28 3326.40408540606 
 2018-01-29 3234.38041560184 
 2018-01-30 3147.05525711194 
 2018-01-31 3170.30449490711 
 2018-02-01 3222.10475202725 
 2018-02-02 3166.64256549823 
 2018-02-03 3043.59985103276 
 2018-02-04 2944.02566922189 
 2018-02-05 2913.60984259026 
 2018-02-06 2840.1878425587 
 2018-02-07 2701.66675101539 
 2018-02-08 2584.29802772793 
 2018-02-09 2514.90371600042 
 2018-02-10 2471.39118477849 
 2018-02-11 2379.27536166333 
 2018-02-12 2249.99014786696 
 2018-02-13 2120.84258971753 
 2018-02-14 2011.926589003 
 2018-02-15 1953.47317282314 
 2018-02-16 1913.93909885922 
 2018-02-17 1851.42769947684 
 2018-02-18 1793.7218665686 
 2018-02-19 1751.86738282334 
 2018-02-20 1732.64242880305 
 2018-02-21 1714.57422035758 
 2018-02-22 1708.0746028772 
 2018-02-23 1716.09789356551 
 2018-02-24 1711.26646380224 
 2018-02-25 1692.45484696546 
 2018-02-26 1645.84814755521 
 2018-02-27 1590.08432538588 
 2018-02-28 1534.15610441216 
 2018-03-01 1482.72744574301 
 2018-03-02 1436.81514876547 
 2018-03-03 1394.89269959133 
 2018-03-04 1355.91393303339 
 2018-03-05 1319.48362455205 
 2018-03-06 1301.03014366551 
 2018-03-07 1287.68862491742 
 2018-03-08 1317.26598311708 
 2018-03-09 1366.35575524604 
 2018-03-10 1417.63157777211 
 2018-03-11 1481.93652599867 
 2018-03-12 1558.1890244131 
 2018-03-13 1664.89737104481 
 2018-03-14 1792.24194763522 
 2018-03-15 1936.17347714219 
 2018-03-16 2107.68825647381 
 2018-03-17 2277.3204906226 
 2018-03-18 2472.74522451103 
 2018-03-19 2789.4321095026 
 2018-03-20 3077.4384227705 
 2018-03-21 3193.68512650835 
 2018-03-22 3117.83856976068 
 2018-03-23 2975.18930757354 
 2018-03-24 2814.51927292562 
 2018-03-25 2647.06450029129 
 2018-03-26 2476.96837492142 
 2018-03-27 2316.35686315592 
 2018-03-28 2167.83404473987 
 2018-03-29 2040.96675424561 
 2018-03-30 1946.43595954429 
 2018-03-31 1916.0555273287 
 2018-04-01 1974.14338265099 
 2018-04-02 2154.76645727267 
 2018-04-03 2381.78468139907 
 2018-04-04 2601.38608257962 
 2018-04-05 2769.00549345403 
 2018-04-06 2828.60592778011 
 2018-04-07 2893.79543931735 
 2018-04-08 2979.38137204246 
 2018-04-09 3014.13487005894 
 2018-04-10 2986.62628086851 
 2018-04-11 2945.51565796607 
 2018-04-12 2946.93604331531 
 2018-04-13 2960.86531437688 
 2018-04-14 2938.5105897837 
 2018-04-15 2935.42421099439 
 2018-04-16 3048.31745154494 
 2018-04-17 3143.44171933676 
 2018-04-18 3113.51449002039 
 2018-04-19 3166.29279805087 
 2018-04-20 3298.76963402157 
 2018-04-21 3245.22937298523 
 2018-04-22 3103.90631724161 
 2018-04-23 3010.50778478039 
 2018-04-24 2959.71377838517 
 2018-04-25 2895.43442941441 
 2018-04-26 2815.69234999045 
 2018-04-27 2751.67653528558 
 2018-04-28 2733.3345492174 
 2018-04-29 2730.33678371353 
 2018-04-30 2755.1768303608 
 2018-05-01 2811.18037814948 
 2018-05-02 2819.84581234086 
 2018-05-03 2773.14931087615 
 2018-05-04 2735.03071225632 
 2018-05-05 2660.77116533282 
 2018-05-06 2567.78806138304 
 2018-05-07 2626.20671870062 
 2018-05-08 2776.48173184023 
 2018-05-09 2764.34983841476 
 2018-05-10 2645.03221439233 
 2018-05-11 2558.183043565 
 2018-05-12 2509.25831177281 
 2018-05-13 2456.98452092667 
 2018-05-14 2382.81097023639 
 2018-05-15 2321.47277599247 
