"","date","real","model"
"136",1960-05-15,1960,917.397805296956
"137",1960-05-16,2220,1009.94151014755
"138",1960-05-17,2660,1156.27508335705
"139",1960-05-18,2770,1292.00099641538
"140",1960-05-19,2820,1409.35754518684
"141",1960-05-20,2830,1545.91413824766
"142",1960-05-21,2790,1586.53787487071
"143",1960-05-22,2780,1621.11368181896
"144",1960-05-23,2580,1876.89948846614
"145",1960-05-24,3120,1859.80147669249
"146",1960-05-25,3240,1866.07319945095
"147",1960-05-26,2770,1856.04899747933
"148",1960-05-27,2790,1817.49711978427
"149",1960-05-28,2650,1774.59536322395
"150",1960-05-29,2500,1672.84765865736
"151",1960-05-30,2240,1535.99019516131
"152",1960-05-31,2080,1402.70814905315
"153",1960-06-01,2020,1318.63105962045
"154",1960-06-02,1980,1337.48658831806
"155",1960-06-03,2080,1383.32936340415
"156",1960-06-04,2160,1336.03846241243
"157",1960-06-05,2030,1343.33097918961
"158",1960-06-06,2170,1379.41597179544
"159",1960-06-07,2130,1354.06400672676
"160",1960-06-08,2100,1325.40475071785
"161",1960-06-09,2130,1354.13499746445
"162",1960-06-10,2300,1473.06423834373
"163",1960-06-11,2550,1656.89887278662
"164",1960-06-12,2780,1678.94532301987
"165",1960-06-13,2760,1706.03428896179
"166",1960-06-14,2460,1724.64682123062
"167",1960-06-15,2400,1699.26571323398
"168",1960-06-16,2460,1676.55143910096
"169",1960-06-17,2590,1699.30012522083
"170",1960-06-18,2460,1648.51754575512
"171",1960-06-19,2230,1519.78116578462
"172",1960-06-20,2030,1412.56979928386
"173",1960-06-21,2030,1296.90727548663
"174",1960-06-22,2190,1230.28651827439
"175",1960-06-23,2210,1198.35789852067
"176",1960-06-24,2060,1146.72705555229
"177",1960-06-25,1930,1074.93464357729
"178",1960-06-26,1890,1015.92561929289
"179",1960-06-27,1860,1012.08112586882
"180",1960-06-28,2000,1270.59866803718
"181",1960-06-29,2540,1615.91389543669
"182",1960-06-30,2710,1864.62205944869
"183",1960-07-01,3010,2036.20851400097
"184",1960-07-02,2740,1984.22465817006
"185",1960-07-03,2420,1842.48102940561
"186",1960-07-04,2120,1656.97308125625
"187",1960-07-05,1900,1479.20908565323
"188",1960-07-06,1740,1343.16709211821
"189",1960-07-07,1700,1285.15511912794
"190",1960-07-08,1660,1268.66490011521
