"","month","real","model"
"140","1971-08",6.972,2.44882967235817
"141","1971-09",7.066,2.31071876563917
"142","1971-10",5.895,1.3659938059221
"143","1971-11",6.268,1.34835222913826
"144","1971-12",6.146,1.77523083495341
"145","1972-01",6.741,1.15887974379702
"146","1972-02",5.974,2.92270825997173
"147","1972-03",5.95,2.57583540346564
"148","1972-04",11.349,5.4947957136695
"149","1972-05",29.719,7.23941228041705
"150","1972-06",11.899,5.47058853625102
"151","1972-07",12.211,6.27663889551845
"152","1972-08",8.725,3.6653652806598
"153","1972-09",5.096,3.12861010638211
"154","1972-10",5.558,2.11949125733716
"155","1972-11",5.735,2.18411353966377
"156","1972-12",5.689,1.41283286875758
"157","1973-01",5.493,1.18463102271855
"158","1973-02",5.392,2.31661808053889
"159","1973-03",5.758,2.85892286947688
"160","1973-04",14.634,3.87868486212199
"161","1973-05",10.677,3.0397411834638
"162","1973-06",6.73,2.86421492214136
"163","1973-07",4.992,1.94105808485614
"164","1973-08",4.501,1.12068179689153
"165","1973-09",4.542,1.69802489360965
"166","1973-10",4.903,0.939834244201513
"167","1973-11",4.403,1.07678349547713
"168","1973-12",3.831,1.17707837582701
"169","1974-01",4.5,2.21091072668613
"170","1974-02",4.891,2.29991060097712
"171","1974-03",4.293,1.46667548923078
"172","1974-04",3.893,0.945185098064993
"173","1974-05",3.78,1.63842483427062
"174","1974-06",4.06,2.39930467977553
"175","1974-07",9.18,2.87027223943377
"176","1974-08",6.464,2.07449129367558
"177","1974-09",4.243,1.06610342880107
"178","1974-10",4.68,1.80359513316942
"179","1974-11",4.996,2.27766654017496
"180","1974-12",29.8,9.23734733808025
"181","1975-01",20.619,10.3871232118659
"182","1975-02",10.706,6.86161335744227
"183","1975-03",5.438,5.41990947982665
"184","1975-04",9.03,5.69998412269559
"185","1975-05",7.735,5.37662376176108
"186","1975-06",5.526,5.09898215234616
"187","1975-07",20.716,7.02568644636966
"188","1975-08",5.616,4.83569886410497
"189","1975-09",5.233,2.79174737174636
"190","1975-10",4.477,2.86740118497374
"191","1975-11",5.125,2.41806437115136
"192","1975-12",4.948,2.03425005043613
"193","1976-01",34.697,13.4503078519504
"194","1976-02",13.361,9.08274613014595
"195","1976-03",11.399,7.26958491986927
"196","1976-04",6.643,4.56230097241629
"197","1976-05",5.146,4.31489480611277
"198","1976-06",5.068,3.39982038680725
"199","1976-07",3.658,3.06079124332767
"200","1976-08",3.991,2.38146013331129
"201","1976-09",4.39,2.44466221126531
"202","1976-10",5.32,2.29075510426305
"203","1976-11",6.24,4.38196240984341
"204","1976-12",17.579,5.10376697557706
"205","1977-01",10.567,3.87087201489975
"206","1977-02",52.7,22.0613862702892
"207","1977-03",43.63,20.9963407815566
"208","1977-04",18.58,14.7968572726609
"209","1977-05",9.943,8.57565193262411
"210","1977-06",5.849,6.008412095467
"211","1977-07",4.945,4.77679974590352
"212","1977-08",6.025,6.36134489692786
"213","1977-09",5.881,4.96866682180001
"214","1977-10",6.137,3.88906291253583
"215","1977-11",5.413,3.96949054477619
"216","1977-12",5.039,3.45400112670829
"217","1978-01",5.373,3.52422645855951
"218","1978-02",6.558,2.90730608660825
"219","1978-03",17.945,5.92573129309962
"220","1978-04",8.189,4.29344552227589
"221","1978-05",6.55,3.8295311380883
"222","1978-06",5.753,2.65006816264509
"223","1978-07",4.802,2.37298953175735
"224","1978-08",4.036,1.77264677782042
"225","1978-09",5.149,1.36872203369947
"226","1978-10",4.334,1.14048800217641
"227","1978-11",4.643,0.725267621477707
"228","1978-12",4.404,1.3680461627032
"229","1979-01",4.926,0.905548080937796
"230","1979-02",4.972,1.65667964127761
"231","1979-03",11.922,5.5068860331476
"232","1979-04",29.607,8.30429116372671
"233","1979-05",11.854,4.75738915915515
"234","1979-06",5.012,4.34149523768319
"235","1979-07",6.213,3.13814696576062
"236","1979-08",6.71,3.46648236672209
"237","1979-09",6.072,3.8340140161593
"238","1979-10",7.133,1.91800682631517
"239","1979-11",7.705,4.54510177640494
"240","1979-12",24.235,7.68340903151498
"241","1980-01",11.502,4.01815246520222
"242","1980-02",23.179,8.67007344912876
"243","1980-03",7.249,6.43654193666376
"244","1980-04",30.273,11.8623051839006
"245","1980-05",22.316,8.85634426632244
"246","1980-06",7.82,6.18170497493737
"247","1980-07",6.669,5.64213918080163
"248","1980-08",8.783,4.76211590968097
"249","1980-09",7.915,3.28190036972753
"250","1980-10",9.305,4.29547863111917
"251","1980-11",8.208,3.10016813144077
"252","1980-12",5.647,3.76580307734316
"253","1981-01",5.161,4.20272250232224
"254","1981-02",12.042,5.54003906993418
"255","1981-03",17.203,6.68663662877699
"256","1981-04",6.977,4.14162174028336
"257","1981-05",3.939,3.71014035283555
"258","1981-06",3.437,2.66761920060423
"259","1981-07",3.565,3.39586974492952
"260","1981-08",3.409,1.91117303098486
"261","1981-09",4.14,3.86434267502838
"262","1981-10",8.679,6.56652736869201
"263","1981-11",14.142,7.14134858034833
"264","1981-12",24.726,7.30304696374458
"265","1982-01",22.773,12.3316093155748
"266","1982-02",26.601,14.4119320773616
"267","1982-03",19.348,17.1683945768949
